group_id,split,scene,frame,role,policy,raw_candidate_count,total_candidates,bound_count,binding_ratio,object_count,contact_pair_count,num_steps,grasp_sequence,first_selected_object,first_grasp_success,grasp_success,first_grasp_risk,failure_mode,failure_reason,clearance_rate,remaining_object_count,gripper_feasible,gripper_feasible_grasp_count,gripper_collision_risk,selected_pose_generator,selected_pose_candidate_index,selected_object_candidate_indices,policy_ranking_candidate_specs,selected_pose_score,selected_pose_pa_grasp_score,selected_pose_original_score,selected_pose_grasp_tolerance,prediction_path
A,final_test,scene_0009,0000,key_showcase_and_final_test,adaptive-score-v2-riskaware,126,126,73,0.579365,10,6,1,"[""dabao_sod.ply""]",dabao_sod.ply,True,True,0.170497,risk-threshold,,0.1,9,True,9,0.0,graspnet-pointcloud,39,"[39, 98, 24, 40, 54, 78, 93, 120, 16]",[],0.113823,0.113823,0.699952,0.008131,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0000,key_showcase_and_final_test,adaptive-score-v2-graspnet,126,126,73,0.579365,10,6,1,"[""dabao_facewash.ply""]",dabao_facewash.ply,True,True,0.178044,risk-threshold,,0.1,9,True,27,0.0,graspnet-pointcloud,7,"[7, 53, 55, 49, 77, 113, 86, 119, 70, 26, 19, 109, 112, 116, 61, 41, 82, 29, 2, 89, 64, 50, 99, 124, 52, 10, 31]","[{""object_name"": ""dabao_facewash.ply"", ""candidate_index"": 7, ""candidate_indices"": [7, 53, 55, 49, 77, 113, 86, 119, 70, 26, 19, 109, 116, 112, 61, 82, 41, 29, 89, 2, 64, 50, 99, 124, 52, 10, 31]}, {""object_name"": ""dabao_sod.ply"", ""candidate_index"": 39, ""candidate_indices"": [39, 98, 24, 40, 54, 78, 93, 120, 16]}, {""object_name"": ""large_elephant.ply"", ""candidate_index"": 18, ""candidate_indices"": [18, 28, 66, 95, 79, 5, 38, 100, 32, 84, 103]}, {""object_name"": ""head_shoulders_supreme.ply"", ""candidate_index"": 20, ""candidate_indices"": [20, 59, 123, 47, 87, 118, 22, 43, 45, 102, 117]}, {""object_name"": ""072-d_toy_airplane.ply"", ""candidate_index"": 76, ""candidate_indices"": [76, 21, 13, 15]}, {""object_name"": ""nzskincare_mouth_rinse.ply"", ""candidate_index"": 37, ""candidate_indices"": [37, 104, 17]}, {""object_name"": ""darlie_box.ply"", ""candidate_index"": 92, ""candidate_indices"": [92]}]",0.117451,0.117451,0.717818,0.008181,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0000,key_showcase_and_final_test,od-only,126,126,73,0.579365,10,6,1,"[""018_plum.ply""]",018_plum.ply,False,False,1.0,risk-threshold,gripper-infeasible,0.0,10,False,0,1.0,,,[],[],,,,,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0000,key_showcase_and_final_test,highest-first,126,126,73,0.579365,10,6,1,"[""018_plum.ply""]",018_plum.ply,False,False,1.0,risk-threshold,gripper-infeasible,0.0,10,False,0,1.0,,,[],[],,,,,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0000,key_showcase_and_final_test,lowest-blocked,126,126,73,0.579365,10,6,1,"[""018_plum.ply""]",018_plum.ply,False,False,1.0,risk-threshold,gripper-infeasible,0.0,10,False,0,1.0,,,[],[],,,,,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0000,key_showcase_and_final_test,random,126,126,73,0.579365,10,6,1,"[""large_elephant.ply""]",large_elephant.ply,True,True,0.131772,risk-threshold,,0.1,9,True,11,0.0,graspnet-pointcloud,18,"[18, 28, 66, 95, 79, 5, 38, 100, 32, 84, 103]",[],0.110269,0.110269,0.678481,0.008126,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0182,key_showcase_and_final_test,adaptive-score-v2-riskaware,87,87,56,0.643678,11,5,1,"[""darlie_box.ply""]",darlie_box.ply,True,True,0.212505,risk-threshold,,0.090909,10,True,2,0.0,graspnet-pointcloud,7,"[7, 83]",[],0.116184,0.116184,0.719553,0.008073,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0182,key_showcase_and_final_test,adaptive-score-v2-graspnet,87,87,56,0.643678,11,5,1,"[""nzskincare_mouth_rinse.ply""]",nzskincare_mouth_rinse.ply,True,True,0.249603,risk-threshold,,0.090909,10,True,5,0.0,graspnet-pointcloud,37,"[37, 84, 3, 58, 10]","[{""object_name"": ""nzskincare_mouth_rinse.ply"", ""candidate_index"": 37, ""candidate_indices"": [37, 84, 3, 58, 10]}, {""object_name"": ""dabao_facewash.ply"", ""candidate_index"": 44, ""candidate_indices"": [44, 63, 2, 62, 35, 36, 9, 18, 24, 69, 79, 5, 54, 33, 86, 68, 22]}, {""object_name"": ""018_plum.ply"", ""candidate_index"": 12, ""candidate_indices"": [12, 71, 6, 46, 25, 19, 60, 31, 66]}, {""object_name"": ""darlie_box.ply"", ""candidate_index"": 7, ""candidate_indices"": [7, 83]}, {""object_name"": ""025_mug.ply"", ""candidate_index"": 20, ""candidate_indices"": [20]}, {""object_name"": ""large_elephant.ply"", ""candidate_index"": 73, ""candidate_indices"": [73, 27, 4, 81, 70, 38, 14, 80]}, {""object_name"": ""head_shoulders_supreme.ply"", ""candidate_index"": 61, ""candidate_indices"": [61, 8, 41]}, {""object_name"": ""072-d_toy_airplane.ply"", ""candidate_index"": 57, ""candidate_indices"": [57]}]",0.108527,0.108527,0.664227,0.008169,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0182,key_showcase_and_final_test,od-only,87,87,56,0.643678,11,5,1,"[""head_shoulders_supreme.ply""]",head_shoulders_supreme.ply,True,True,0.244873,risk-threshold,,0.090909,10,True,3,0.25,graspnet-pointcloud,61,"[61, 8, 41]",[],0.115347,0.115347,0.710962,0.008112,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0182,key_showcase_and_final_test,highest-first,87,87,56,0.643678,11,5,1,"[""dabao_sod.ply""]",dabao_sod.ply,False,False,1.0,risk-threshold,gripper-infeasible,0.0,11,False,0,1.0,,,[],[],,,,,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
