group_id,split,scene,frame,role,policy,raw_candidate_count,total_candidates,bound_count,binding_ratio,object_count,contact_pair_count,num_steps,grasp_sequence,first_selected_object,first_grasp_success,grasp_success,first_grasp_risk,failure_mode,failure_reason,clearance_rate,remaining_object_count,gripper_feasible,gripper_feasible_grasp_count,gripper_collision_risk,selected_pose_generator,selected_pose_candidate_index,selected_object_candidate_indices,policy_ranking_candidate_specs,selected_pose_score,selected_pose_pa_grasp_score,selected_pose_original_score,selected_pose_grasp_tolerance,prediction_path
A,final_test,scene_0009,0000,key_showcase_and_final_test,adaptive-score-v2-riskaware,126,126,45,0.357143,10,6,1,"[""dabao_sod.ply""]",dabao_sod.ply,True,True,0.170497,risk-threshold,,0.1,9,True,2,0.0,graspnet-pointcloud,54,"[54, 78]",[],0.116436,0.116436,0.717566,0.008113,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0000,key_showcase_and_final_test,adaptive-score-v2-graspnet,126,126,45,0.357143,10,6,1,"[""dabao_facewash.ply""]",dabao_facewash.ply,True,True,0.178044,risk-threshold,,0.1,9,True,15,0.0,graspnet-pointcloud,7,"[7, 49, 77, 113, 70, 29, 2, 89, 64, 50, 99, 124, 52, 10, 31]","[{""object_name"": ""dabao_facewash.ply"", ""candidate_index"": 7, ""candidate_indices"": [7, 49, 77, 113, 70, 29, 89, 2, 64, 50, 99, 124, 52, 10, 31]}, {""object_name"": ""072-d_toy_airplane.ply"", ""candidate_index"": 76, ""candidate_indices"": [76]}, {""object_name"": ""large_elephant.ply"", ""candidate_index"": 18, ""candidate_indices"": [18, 95, 79, 5, 38, 100, 32, 84, 103]}, {""object_name"": ""dabao_sod.ply"", ""candidate_index"": 54, ""candidate_indices"": [54, 78]}, {""object_name"": ""darlie_box.ply"", ""candidate_index"": 92, ""candidate_indices"": [92]}, {""object_name"": ""025_mug.ply"", ""candidate_index"": 24, ""candidate_indices"": [24]}, {""object_name"": ""head_shoulders_supreme.ply"", ""candidate_index"": 20, ""candidate_indices"": [20, 123, 47, 87, 118, 22, 43, 45, 102, 117]}, {""object_name"": ""nzskincare_mouth_rinse.ply"", ""candidate_index"": 37, ""candidate_indices"": [37, 104, 17]}]",0.117451,0.117451,0.717818,0.008181,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0000,key_showcase_and_final_test,od-only,126,126,45,0.357143,10,6,1,"[""018_plum.ply""]",018_plum.ply,False,False,1.0,risk-threshold,gripper-infeasible,0.0,10,False,0,1.0,,,[],[],,,,,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0000,key_showcase_and_final_test,highest-first,126,126,45,0.357143,10,6,1,"[""018_plum.ply""]",018_plum.ply,False,False,1.0,risk-threshold,gripper-infeasible,0.0,10,False,0,1.0,,,[],[],,,,,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0000,key_showcase_and_final_test,lowest-blocked,126,126,45,0.357143,10,6,1,"[""018_plum.ply""]",018_plum.ply,False,False,1.0,risk-threshold,gripper-infeasible,0.0,10,False,0,1.0,,,[],[],,,,,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0000,key_showcase_and_final_test,random,126,126,45,0.357143,10,6,1,"[""large_elephant.ply""]",large_elephant.ply,True,True,0.131772,risk-threshold,,0.1,9,True,9,0.0,graspnet-pointcloud,18,"[18, 95, 79, 5, 38, 100, 32, 84, 103]",[],0.110269,0.110269,0.678481,0.008126,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0182,key_showcase_and_final_test,adaptive-score-v2-riskaware,87,87,28,0.321839,11,5,1,"[""025_mug.ply""]",025_mug.ply,True,True,0.346988,risk-threshold,,0.090909,10,True,1,0.0,graspnet-pointcloud,20,[20],[],0.090059,0.090059,0.743546,0.006056,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0182,key_showcase_and_final_test,adaptive-score-v2-graspnet,87,87,28,0.321839,11,5,1,"[""nzskincare_mouth_rinse.ply""]",nzskincare_mouth_rinse.ply,True,True,0.249603,risk-threshold,,0.090909,10,True,4,0.0,graspnet-pointcloud,37,"[37, 3, 58, 10]","[{""object_name"": ""nzskincare_mouth_rinse.ply"", ""candidate_index"": 37, ""candidate_indices"": [37, 3, 58, 10]}, {""object_name"": ""dabao_facewash.ply"", ""candidate_index"": 44, ""candidate_indices"": [44, 63, 2, 62, 18, 24, 69, 22]}, {""object_name"": ""018_plum.ply"", ""candidate_index"": 71, ""candidate_indices"": [71, 46, 25, 19, 60]}, {""object_name"": ""large_elephant.ply"", ""candidate_index"": 73, ""candidate_indices"": [73, 27, 4, 70, 14, 80]}, {""object_name"": ""head_shoulders_supreme.ply"", ""candidate_index"": 61, ""candidate_indices"": [61, 8, 41]}, {""object_name"": ""025_mug.ply"", ""candidate_index"": 20, ""candidate_indices"": [20]}, {""object_name"": ""072-d_toy_airplane.ply"", ""candidate_index"": 57, ""candidate_indices"": [57]}]",0.108527,0.108527,0.664227,0.008169,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0182,key_showcase_and_final_test,od-only,87,87,28,0.321839,11,5,1,"[""head_shoulders_supreme.ply""]",head_shoulders_supreme.ply,True,True,0.157373,risk-threshold,,0.090909,10,True,3,0.0,graspnet-pointcloud,61,"[61, 8, 41]",[],0.115347,0.115347,0.710962,0.008112,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0182,key_showcase_and_final_test,highest-first,87,87,28,0.321839,11,5,1,"[""dabao_sod.ply""]",dabao_sod.ply,False,False,1.0,risk-threshold,gripper-infeasible,0.0,11,False,0,1.0,,,[],[],,,,,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0182,key_showcase_and_final_test,lowest-blocked,87,87,28,0.321839,11,5,1,"[""dabao_facewash.ply""]",dabao_facewash.ply,True,True,0.074295,risk-threshold,,0.090909,10,True,8,0.0,graspnet-pointcloud,44,"[44, 63, 2, 62, 18, 24, 69, 22]",[],0.109394,0.109394,0.671104,0.00815,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0182,key_showcase_and_final_test,random,87,87,28,0.321839,11,5,1,"[""dabao_sod.ply""]",dabao_sod.ply,False,False,1.0,risk-threshold,gripper-infeasible,0.0,11,False,0,1.0,,,[],[],,,,,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0255,key_showcase_and_final_test,adaptive-score-v2-riskaware,219,219,81,0.369863,10,8,1,"[""032_knife.ply""]",032_knife.ply,True,True,0.218667,risk-threshold,,0.1,9,True,2,0.0,graspnet-pointcloud,173,"[173, 167]",[],0.110168,0.110168,0.676301,0.008145,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0255,key_showcase_and_final_test,adaptive-score-v2-graspnet,219,219,81,0.369863,10,8,1,"[""head_shoulders_supreme.ply""]",head_shoulders_supreme.ply,True,True,0.332478,risk-threshold,,0.1,9,True,13,0.0,graspnet-pointcloud,93,"[93, 191, 214, 20, 59, 160, 175, 102, 55, 116, 139, 215, 201]","[{""object_name"": ""head_shoulders_supreme.ply"", ""candidate_index"": 93, ""candidate_indices"": [93, 191, 214, 20, 59, 160, 175, 102, 55, 116, 139, 215, 201]}, {""object_name"": ""dabao_facewash.ply"", ""candidate_index"": 149, ""candidate_indices"": [149, 161, 58, 122, 190, 145, 144, 202, 199, 94, 69, 43, 95, 179, 29, 194, 166, 68, 140, 117, 137, 157, 74, 32, 33, 15]}, {""object_name"": ""032_knife.ply"", ""candidate_index"": 173, ""candidate_indices"": [173, 167]}, {""object_name"": ""large_elephant.ply"", ""candidate_index"": 99, ""candidate_indices"": [99, 127, 54]}, {""object_name"": ""dabao_sod.ply"", ""candidate_index"": 70, ""candidate_indices"": [70, 185, 97, 100, 171, 134, 80, 40, 42, 182, 147, 196, 13]}, {""object_name"": ""darlie_box.ply"", ""candidate_index"": 177, ""candidate_indices"": [177, 25, 89, 27]}, {""object_name"": ""025_mug.ply"", ""candidate_index"": 51, ""candidate_indices"": [51, 205, 135, 46]}, {""object_name"": ""nzskincare_mouth_rinse.ply"", ""candidate_index"": 154, ""candidate_indices"": [154, 75, 67, 158, 170, 11, 77, 129, 168]}, {""object_name"": ""072-j_toy_airplane.ply"", ""candidate_index"": 148, ""candidate_indices"": [148, 47, 109, 90, 79]}]",0.108669,0.108669,0.66574,0.008162,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0255,key_showcase_and_final_test,od-only,219,219,81,0.369863,10,8,1,"[""dabao_facewash.ply""]",dabao_facewash.ply,True,True,0.107216,risk-threshold,,0.1,9,True,26,0.0,graspnet-pointcloud,149,"[149, 161, 58, 122, 190, 145, 94, 144, 199, 202, 69, 43, 29, 95, 179, 194, 166, 68, 140, 117, 137, 157, 74, 32, 33, 15]",[],0.116626,0.116626,0.714922,0.008157,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
A,final_test,scene_0009,0255,key_showcase_and_final_test,highest-first,219,219,81,0.369863,10,8,1,"[""032_knife.ply""]",032_knife.ply,True,True,0.218667,risk-threshold,,0.1,9,True,2,0.0,graspnet-pointcloud,173,"[173, 167]",[],0.110168,0.110168,0.676301,0.008145,/home/bobo/99-students/2024_2027_wtt/SO_Grasp/data/graspnet_predictions/senior_improved_pointnetplus_split_v1/scene_0009/realsense
